,importance
length,0.13489448
aa_R,0.062208846
aa_L,0.046506554
dp_GG,0.02755849
hydrophobic,0.027411316
aa_Y,0.027278677
aa_S,0.024830164
glycine_frac,0.024566265
aa_N,0.022158228
dp_SP,0.0216819
cysteine_frac,0.020302515
aromatic,0.018804446
dp_LQ,0.01870617
aa_Q,0.018586915
dp_AG,0.018496713
dp_ED,0.017507832
dp_AT,0.017429346
proline_frac,0.016981676
aa_D,0.015309625
dp_AD,0.015007244
aa_K,0.014788128
dp_GD,0.014598372
dp_DF,0.013358126
aa_T,0.012986382
dp_AE,0.012430138
dp_SS,0.012409459
aa_A,0.012396474
dp_LE,0.012001919
aa_E,0.011557726
aa_F,0.011352426
dp_LK,0.011258198
aa_V,0.011146374
dp_KI,0.011113787
dp_VE,0.0110791065
polar,0.010970388
aa_W,0.010354319
charged,0.010094128
dp_YG,0.009914729
aa_M,0.009289333
dp_NG,0.009267891
dp_EG,0.009134399
dp_NS,0.008952611
dp_LR,0.008888552
dp_EE,0.008779607
dp_SL,0.008521049
dp_AA,0.0079498
dp_SF,0.0078248
dp_VA,0.0077888723
dp_LS,0.00773821
dp_YV,0.0075859134
aa_I,0.0075818324
dp_TE,0.007391577
dp_ET,0.0072787213
aa_H,0.0072212447
dp_SD,0.0071174474
dp_EA,0.0070007676
dp_AP,0.0067789247
dp_LL,0.00673788
dp_TL,0.0064382497
dp_SC,0.0060415594
dp_LP,0.0057533854
dp_GT,0.0054574213
dp_EP,0.0044175945
dp_TY,0.003024794
