,importance
aa_E,0.038885742910097075
cysteine_frac,0.03396352956935464
aromatic,0.0323744284236416
aa_V,0.02593350691223376
charged,0.025439546461102067
aa_W,0.024002619188068026
aa_I,0.02359245610334635
length,0.023419835151108934
dp_AP,0.023351681789769593
aa_Y,0.023124581231994474
aa_N,0.023043084839942364
dp_GG,0.02204010045689177
aa_L,0.020991202463935058
dp_DF,0.020718413447093763
aa_R,0.02067079325890727
aa_Q,0.020188253385111356
dp_EE,0.019746135283229424
aa_F,0.019704573015622357
dp_TY,0.018972554244223973
glycine_frac,0.018363234782173044
dp_GD,0.01792831931447845
dp_EA,0.01743994303181369
dp_VE,0.017423813229744428
aa_K,0.017370579865143083
dp_EP,0.01716793919263046
dp_TL,0.017121795741426422
hydrophobic,0.01592067860704083
aa_A,0.015853670302213112
dp_GT,0.015275330511804993
dp_LE,0.014238649710268399
dp_NS,0.014181775789553342
dp_AE,0.01417141767519184
proline_frac,0.01398342635031073
dp_ET,0.013872174074273009
dp_AG,0.01372780524540593
dp_EG,0.013382572937651988
dp_TE,0.012925615838709745
aa_T,0.012828469509188388
aa_D,0.012809924832006278
aa_M,0.012511518262241996
dp_YV,0.012393748691153887
polar,0.012350718791125682
dp_YG,0.012285305223076954
aa_H,0.012053480817875044
dp_SC,0.012050343149087716
dp_SD,0.011964015182196452
dp_NG,0.011908982355391527
dp_SF,0.011777002319864371
dp_AT,0.01062956345456427
dp_AA,0.010548731807975185
dp_SL,0.009663687217256706
dp_LL,0.009528605677025608
aa_S,0.009504536640004072
dp_KI,0.008462602595240095
dp_LK,0.00830127626166533
dp_SS,0.007647292983652716
dp_AD,0.007642906661355661
dp_VA,0.007431131720687164
dp_LS,0.007427278540842713
dp_LR,0.006358454462994611
dp_LP,0.006342270747909942
dp_SP,0.005259087518825823
dp_LQ,0.004958735851896079
dp_ED,0.004848548389388358
